name,year,place,chef,category,location,ranking
Little Serow,2012,Little Serow,,Best New Restaurant,"Washington, District of Columbia",Semifinalist
Fox Restaurant Concepts,2012,Fox Restaurant Concepts,Sam Fox,Outstanding Restaurateur,"Scottsdale, Arizona",Semifinalist
LeFarm,2012,LeFarm,Bill Taibe,Best Chef: Northeast,"Westport, Connecticut",Semifinalist
Dovetail,2012,Dovetail,John Fraser,Best Chef: New York City,,Semifinalist
GT Fish & Oyster,2012,GT Fish & Oyster,Giuseppe Tentori,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Perbacco,2012,Perbacco,,Outstanding Wine Program,"San Francisco, California",Semifinalist
Restaurant Eugene,2012,Restaurant Eugene,Linton Hopkins,Best Chef: Southeast,"Atlanta, Georgia",Winner
Six89,2012,Six89,Mark Fischer,Best Chef: Southwest,"Carbondale, Colorado",Semifinalist
DBGB Kitchen and Bar,2012,DBGB Kitchen and Bar,"Design Bureaux, Inc.",Outstanding Restaurant Design,"New York, New York",Nominee
Bar Acuda,2012,Bar Acuda,Jim Moffat,Best Chef: Pacific,"Hanalei, Hawaii",Semifinalist
Torrisi Italian Specialties,2012,Torrisi Italian Specialties,Mario Carbone,Best Chef: New York City,,Semifinalist
The Royce at the Langham Huntington,2012,The Royce at the Langham Huntington,David Féau,Best Chef: Pacific,"Pasadena, California",Semifinalist
Cafe des Architectes,2012,Cafe des Architectes,Patrick Fahy,Outstanding Pastry Chef,"Chicago, Illinois",Semifinalist
Espuma,2012,Espuma,Jay Caputo,Best Chef: Mid-Atlantic,"Rehoboth Beach, Delaware",Semifinalist
Charlie Trotter,2012,Charlie Trotter,,Humanitarian of the Year,,Winner
Refectory Restaurant & Bistro,2012,Refectory Restaurant & Bistro,Richard Blondin,Best Chef: Great Lakes,"Columbus, Ohio",Semifinalist
Fruition Restaurant,2012,Fruition Restaurant,Alex Seidel,Best Chef: Southwest,"Denver, Colorado",Semifinalist
Sierra Nevada Brewing Co.,2012,Sierra Nevada Brewing Co.,Ken Grossman,Outstanding Wine & Spirits Professional,"Chino, California",Semifinalist
Vincent on Camelback,2012,Vincent on Camelback,,Outstanding Restaurant,"Phoenix, Arizona",Semifinalist
Savory,2012,Savory,Paul Shoemaker,Best Chef: Pacific,"Malibu, California",Semifinalist
Fountain Restaurant at Four Seasons Hotel Philadelphia,2012,Fountain Restaurant at Four Seasons Hotel Philadelphia,,Outstanding Service,"Philadelphia, Pennsylvania",Semifinalist
The Willows Inn,2012,The Willows Inn,Blaine Wetzel,Rising Star Chef of the Year,"Lummi Island, Washington",Semifinalist
Peak Spirits,2012,Peak Spirits,Lance Hanson,Outstanding Wine & Spirits Professional,"Hotchkiss, Colorado",Semifinalist
Biga on the Banks,2012,Biga on the Banks,Bruce Auden,Best Chef: Southwest,"San Antonion, Texas",Nominee
Belly,2012,Belly,Brendan Mahaney,Best Chef: Northwest,"Eugene, Oregon",Semifinalist
Tria,2012,Tria,,Outstanding Wine Program,"Philadelphia, Pennsylvania",Semifinalist
Mezze,2012,Mezze,Micah Wexler,Rising Star Chef of the Year,"Los Angeles, California",Semifinalist
Hatfield's,2012,Hatfield's,,Outstanding Wine Program,"Los Angeles, California",Semifinalist
Sorella,2012,Sorella,Emma Hearst,Rising Star Chef of the Year,"New York, New York",Semifinalist
Trade,2012,Trade,,Best New Restaurant,"Boston, Massachusetts",Semifinalist
COCO500,2012,COCO500,Loretta Keller,Best Chef: Pacific,"San Francisco, California",Semifinalist
Hirsch Vineyards,2012,Hirsch Vineyards,David Hirsch,Outstanding Wine & Spirits Professional,"Cazadero, California",Semifinalist
Restaurant Muramoto,2012,Restaurant Muramoto,Shinji Muramoto,Best Chef: Midwest,"Madison, Wisconsin",Semifinalist
Mondo,2011,Mondo,,Best New Restaurant,"New Orleans, Louisiana",Semifinalist
Gruner,2011,Gruner,Christopher Israel,Best Chef: Northwest,"Portland, Oregon",Nominee
La Laiterie,2011,La Laiterie,Matt Jennings,Best Chef: Northeast,"Providence, Rhode Island",Nominee
Pitfire Pizza,2011,Pitfire Pizza,Bestor Architecture,Outstanding Restaurant Design,,Nominee
Lee Jones,2011,Lee Jones,,Who's Who of Food & Beverage in America,"Huron, Ohio",Winner
The Turquoise Room at La Posada Hotel,2011,The Turquoise Room at La Posada Hotel,John Sharpe,Best Chef: Southwest,"Winslow, Arizona",Semifinalist
Brooklyn Brewery,2011,Brooklyn Brewery,Garrett Oliver,Outstanding Wine & Spirits Professional,"Brooklyn, New York",Semifinalist
Oakley's bistro,2011,Oakley's bistro,Steven Oakley,Best Chef: Great Lakes,"Indianapolis, Indiana",Semifinalist
Town House,2011,Town House,John Shields,Best Chef: Mid-Atlantic,"Chilhowie, Virginia",Semifinalist
Il Villaggio Osteria,2011,Il Villaggio Osteria,Paul O'Connor,Best Chef: Northwest,"Teton Village, Wyoming",Semifinalist
Les Nomades,2011,Les Nomades,Christopher Nugent,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
