name,year,place,chef,category,location,ranking
Wildair,2020,Wildair,Fabián von Hauske,Best Chef: New York State,"New York, New York",Semifinalist
Uptown Yolk,2020,Uptown Yolk,Gregory Collier Jr.,Best Chef: Southeast,"Charlotte, North Carolina",Semifinalist
auburn,2020,auburn,Klein Agency,Outstanding Restaurant Design (76 Seats and Over),"Los Angeles, California",Winner
By Tae,2020,By Tae,Sun Hong,Best Chef: Northwest & Pacific,"Seattle, Washington",Semifinalist
Larder Delicatessen & Bakery,2020,Larder Delicatessen & Bakery,Jeremy Michael Umansky,Best Chef: Great Lakes,"Shaker Heights, Ohio",Semifinalist
Miss Kim Korean Restaurant,2020,Miss Kim Korean Restaurant,Ji Hye Kim,Best Chef: Great Lakes,"Ann Arbor, Michigan",Semifinalist
Smyth,2020,Smyth,Karen Shields,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Spoonbill Watering Hole & Restaurant,2020,Spoonbill Watering Hole & Restaurant,Flywheel Co.,Outstanding Restaurant Design (75 Seats and Under),"Houston, Texas",Nominee
auburn,2020,auburn,Klein Agency,Outstanding Restaurant Design (76 Seats and Over),"Los Angeles, California",Winner
Zehnder's of Frankenmuth,2020,Zehnder's of Frankenmuth,,America's Classics,"Frankenmuth, Michigan",Winner
Vera's Backyard Bar-B-Que,2020,Vera's Backyard Bar-B-Que,,America's Classics,"Brownsville, Texas",Winner
Boka,2020,Boka,Lee Wolen,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Frontier,2020,Frontier,Brian Anthony Jupiter,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Oriole,2020,Oriole,Noah Sandoval,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Bluebeard,2020,Bluebeard,Abbi Merriss,Best Chef: Great Lakes,"Indianapolis, Indiana",Semifinalist
Hayato,2020,Hayato,Brandon Go,Best Chef: California,"Los Angeles, California",Semifinalist
Commis,2020,Commis,James Syhabout,Best Chef: California,"Oakland, California",Semifinalist
Sqirl,2020,Sqirl,Jessica Koslow,Best Chef: California,"Los Angeles, California",Nominee
Orsa & Winston,2020,Orsa & Winston,Josef Centeno,Best Chef: California,"Los Angeles, California",Semifinalist
Meals By Genet,2020,Meals By Genet,Genet Agonafer,Best Chef: California,"Los Angeles, California",Semifinalist
Nightshade,2020,Nightshade,Mei Lin,Best Chef: California,"Los Angeles, California",Semifinalist
Bavel,2020,Bavel,Ori Menashe,Best Chef: California,"Los Angeles, California",Semifinalist
In Situ,2020,In Situ,Brandon Rodgers,Best Chef: California,"San Francisco, California",Semifinalist
Thattu,2020,Thattu,,Best New Restaurant,"Chicago, Illinois",Semifinalist
Chez Panisse,2020,Chez Panisse,,Design Icon,"Berkeley, California",Winner
n/naka,2020,n/naka,Niki Nakayama,Best Chef: California,"Los Angeles, California",Semifinalist
El Molino Central,2020,El Molino Central,Karen Taylor Waikiki,Best Chef: California,"Boyes Hot Springs, California",Semifinalist
La Diosa de los Moles,2020,La Diosa de los Moles,,Best Chef: California,"Paramount, California",Semifinalist
Kin Khao,2020,Kin Khao,Pim Techamuanvivit,Best Chef: California,"San Francisco, California",Nominee
Vida Cantina,2020,Vida Cantina,David Vargas,Best Chef: Northeast,"Portsmouth, New Hampshire",Semifinalist
The Lost Kitchen,2020,The Lost Kitchen,Erin French,Best Chef: Northeast,"Freedom, Maine",Semifinalist
Shore Leave,2020,Shore Leave,Hacin + Associates,Outstanding Restaurant Design (76 Seats and Over),"Boston, Massachusetts",Nominee
Sarma,2020,Sarma,Cassie Piuma,Best Chef: Northeast,"Somerville, Massachusetts",Nominee
The Wolf’s Tailor,2020,The Wolf’s Tailor,Kelly Whitaker,Best Chef: Mountain,"Denver, Colorado",Nominee
Laziz Kitchen,2020,Laziz Kitchen,Moudi Sbeity,Best Chef: Mountain,"Salt Lake City, Utah",Semifinalist
Kyoto Japanese Restaurant,2020,Kyoto Japanese Restaurant,Peggi Ince-Whiting,Best Chef: Mountain,"Salt Lake City, Utah",Semifinalist
Martina,2020,Martina,Daniel J del Prado,Best Chef: Midwest,"Minneapolis, Montana",Semifinalist
Hai Hai,2020,Hai Hai,Christina Nguyen,Best Chef: Midwest,"Minneapolis, Minnesota",Nominee
Ngon Vietnamese Bistro,2020,Ngon Vietnamese Bistro,Hai Truong,Best Chef: Midwest,"Saint Paul, Minnesota",Semifinalist
Fox and Pearl,2020,Fox and Pearl,Vaughn Good,Best Chef: Midwest,"Kansas City, Missouri",Semifinalist
Jungle BaoBao,2020,Jungle BaoBao,Paxx Caraballo Moll,Best Chef: South,"Santurce, Puerto Rico",Semifinalist
LUVI Restaurant,2020,LUVI Restaurant,Hao Gong,Best Chef: South,"New Orleans, Louisiana",Semifinalist
